id	F
1	1.5379
2	0.0
3	1.5334
4	0.0
5	2.5181
6	1.8911
7	0.0
8	2.2367
9	0.0
10	4.5623
11	1.9069
12	0.9917
13	1.5365
14	2.7672
15	1.9545
16	2.5536
17	3.9233
18	2.8407
19	1.2524
20	1.7287
21	0.0
22	0.0
23	3.352
24	0.0
25	0.0
26	2.024
27	1.7415
28	0.0
29	1.8847
30	0.0
31	0.0
32	0.0
33	0.0
34	2.6505
35	1.8684
36	0.0
37	0.0
38	0.0
39	0.0
40	0.0
41	0.0
42	0.0
43	0.0
44	1.8537
45	2.1944
46	1.3734
47	1.4971
48	0.0
49	2.0244
50	1.2397
51	0.0
52	3.4868
53	0.0
54	0.0
55	2.46
56	1.0885
57	1.8663
58	1.4119
59	0.0
60	1.8738
61	0.0
62	1.4679
63	0.9024
64	0.0
65	2.3569999999999998
66	0.0
67	2.6733
68	0.0
69	0.0
70	1.4354
71	0.0
72	0.0
73	1.5584
74	0.0
75	1.1856
76	0.0
77	0.0
78	0.0
79	0.0
80	2.0166
81	0.0
82	4.2253
83	0.0
84	0.0
85	0.0
86	1.2882
87	1.7664
88	2.2468
89	1.9866
90	1.1919
91	2.9768
92	2.1434
93	1.5276
94	0.0
95	1.8521
96	2.2377
97	1.2479
98	0.0
99	1.4188
100	0.0
101	0.0
102	1.3659
103	2.7867
104	3.0733
105	2.6788
106	0.0
107	0.0
108	0.0
109	0.0
110	1.8866
111	0.0
112	0.0
113	0.0
114	0.0
115	0.0
116	0.0
117	2.2548
118	0.0
119	0.0
120	0.0
121	0.0
122	0.0
123	0.0
124	0.0
125	0.0
126	0.0
127	0.0
128	0.0
129	0.0
130	1.9045
131	1.6043
132	2.6389
133	4.3214
134	2.1904
135	0.0
136	1.9431
137	2.2739
138	0.0
139	1.7691
140	2.0598
141	1.2089
142	3.429
143	0.0
144	2.5262
145	0.9445
146	1.4013
147	0.8635
148	1.7612
149	2.1928
150	2.4281
151	1.6353
152	2.8483
153	1.7909
154	2.9442
155	1.4679
156	3.0136
157	1.4493
158	0.0
159	1.1329
160	2.0616
161	2.3245
162	2.0835
163	0.0
164	0.8384
165	5.8455
166	1.7902
167	2.1335
168	1.083
169	0.0
170	1.5898
171	0.0
172	0.0
173	6.4872
174	0.0
175	0.0
176	0.0
177	2.9391
178	2.3382
179	0.0
180	1.4569
181	2.8458
182	0.0
183	2.2123
184	0.0
185	2.4666
186	0.0
187	0.0
188	0.0
189	2.4733
190	1.5394
191	3.7510000000000003
192	0.0
193	0.0
194	1.7285
195	0.0
196	0.0
197	0.0
198	0.0
199	0.0
200	0.0
201	0.0
202	0.0
203	0.0
204	0.0
205	0.0
206	0.0
207	0.0
208	0.0
209	0.0
210	0.0
211	0.0
212	1.2795
213	3.7704
214	1.0276
215	2.0948
216	0.9359
217	2.1733
218	2.608
219	1.6291
220	0.0
221	2.4125
222	1.0389
223	1.7099
224	3.6989
225	1.0543
226	0.9681
227	1.8743
228	1.67
229	1.1983
230	3.0772
231	0.0
232	0.0
233	0.0
234	1.0590000000000002
235	0.0
236	1.4033
237	3.8179
238	1.8772
239	1.6581
240	2.1251
241	2.3522
242	0.0
243	1.5521
244	0.0
245	4.4761
246	1.8494
247	3.4474
248	2.8738
249	1.9757
250	1.2208
251	2.9245
252	2.9263
253	1.4636
254	0.0
255	0.0
256	0.0
257	0.0
258	2.4312
259	1.7337
260	1.0487
261	0.0
262	1.3066
263	2.3619
264	0.0
265	4.1866
266	0.0
267	0.0
268	0.0
269	0.0
270	0.0
271	2.0962
272	0.0
273	0.0
274	0.0
275	0.0
276	0.0
277	0.0
278	1.8688
279	0.0
280	0.0
281	0.0
282	0.0
283	0.0
284	0.0
285	0.0
286	0.0
287	0.0
288	1.8644
289	0.8545
290	0.0
291	2.1963
292	1.9805
293	0.941
294	5.5317
295	2.2632
296	0.0
297	2.6689999999999996
298	1.3283
299	2.4996
300	0.0
301	2.2367
302	0.6407
303	0.0
304	1.3538
305	1.5955
306	1.0979999999999999
307	0.9717
308	1.8472
309	2.7022
310	1.235
311	1.9886
312	2.0743
313	1.1766
314	2.6366
315	1.3081
316	0.0
317	0.9782
318	3.5246
319	2.2205
320	1.9181
321	0.7985
322	0.0
323	0.0
324	2.6533
325	1.2038
326	4.4282
327	1.1082
328	3.0154
329	1.3421
330	0.0
331	0.9655
332	1.6454
333	1.148
334	1.5135
335	1.3659
336	2.7494
337	0.0
338	2.6223
339	0.0
340	2.35
341	1.4701
342	0.0
343	0.0
344	0.0
345	0.0
346	0.0
347	0.0
348	0.0
349	0.0
350	0.0
351	0.0
352	0.0
353	0.0
354	0.0
355	1.0603
356	1.0685
357	0.9822
358	0.0
359	1.7065
360	3.326
361	1.0011
362	0.0
363	0.0
364	0.0
365	1.7083
366	2.1296
367	1.8493
368	2.1159
369	1.6425
370	0.7488
371	0.0
372	0.0
373	0.0
374	0.0
375	2.2251
376	1.4848
377	1.0754
378	2.1806
379	0.0
380	0.0
381	0.0
382	1.8522
383	0.0
384	2.3857
385	2.5823
386	0.0
387	0.0
388	2.115
389	0.0
390	2.7345
391	1.8559999999999999
392	0.0
393	0.9964
394	4.9808
395	1.1408
396	3.6837
397	2.251
398	0.0
399	1.4883
400	2.0913
401	0.0
402	0.0
403	0.0
404	0.0
405	0.0
406	0.0
407	0.0
408	0.0
409	0.0
410	2.9849
411	0.0
412	0.0
413	0.0
414	0.0
415	0.0
416	0.0
417	0.0
418	0.0
419	0.0
420	0.0
421	0.0
422	0.0
423	0.0
424	1.8492
425	1.4141
426	1.7034
427	0.0
428	0.0
429	0.0
430	2.5257
431	2.3169
432	2.0209
433	1.1035
434	2.5519
435	0.0
436	0.0
437	1.8319
438	1.2238
439	2.4648
440	1.6561
441	2.3927
442	1.3799
443	0.0
444	0.0
445	0.0
446	0.0
447	0.789
448	2.4215
449	2.9954
450	2.4001
451	0.0
452	1.6848
453	0.0
454	2.247
455	1.8863
456	0.0
457	0.9831
458	2.5028
459	2.1454
460	0.0
461	1.5217
462	1.6518
463	1.78
464	0.0
465	0.0
466	1.7959
467	2.5568
468	0.0
469	0.0
470	1.5347
471	0.0
472	0.0
473	0.0
474	0.0
475	0.0
476	2.0543
477	0.0
478	0.0
479	0.0
480	0.0
481	0.0
482	0.0
483	0.0
484	0.0
485	0.0
486	0.0
487	0.0
488	0.0
489	0.0
490	0.0
491	1.8816
492	0.0
493	0.0
494	0.0
495	0.0
496	0.0
497	0.0
498	2.4661
499	1.0092
500	0.0
501	0.0
502	2.0183
503	2.1943
504	3.6292
505	0.9335
506	1.6597
507	0.0
508	3.4978
509	2.1012
510	2.2067
511	2.7922
512	2.864
513	1.0336
